"","fish","agei","A1","A2","A3","A4","A6"
"1",1,1,230.700963323416,230.780463022808,229.601094351472,230.201943660901,229.708836682818
"2",1,2,220.449900388643,220.637245862146,219.747926840706,219.940094511467,220.392758676211
"3",1,3,215.145571311929,215.147975398729,214.970633502153,214.304975036344,214.382385768722
"4",1,4,213,213,213,213,213
"5",2,1,185.001697543712,186.613127962566,186.590126024662,184.712077217974,186.231876908781
"6",2,2,177.986288840066,178.712393365083,178.51070207386,178.253074407962,178.071966334026
"7",2,3,175,175,175,175,175
"8",3,1,190.166790791437,190.05758365026,190.35652391562,186.339238700462,189.660795217715
"9",3,2,182.996010812936,182.943683019588,182.61378936918,182.081541065823,182.908096519618
"10",3,3,180,180,180,180,180
"11",4,1,205.561214949762,205.807722755398,206.571552158662,204.188874508183,202.780913909452
"12",4,2,198.276065803337,199.030195792658,199.753083191252,199.22506385035,197.82228017235
"13",4,3,195.372564331935,195.32373573491,195.385001509005,195.201764685581,194.981396260468
"14",4,4,194,194,194,194,194
"15",5,1,195.070735759767,196.426143238017,194.22372379276,192.167283753367,194.702444309055
"16",5,2,186.840688650835,187.659072093789,186.277724647443,186.201273691652,185.738869944672
"17",5,3,183,183,183,183,183
"18",6,1,186.609319346359,185.846131475418,186.407455299227,185.226032269121,187.962124574673
"19",6,2,180.45293456237,179.973566812835,179.787792218801,180.314219484882,179.992424914935
"20",6,3,178,178,178,178,178
"21",7,1,213.98612926823,209.747007461262,211.143159542229,211.458151380122,210.588967621062
"22",7,2,204.013741777239,202.368465025172,202.577895222264,203.044854344195,202.341934848864
"23",7,3,199,199,199,199,199
"24",8,1,225.603455093917,225.079784778643,228.391269520344,222.877874613069,226.395554299253
"25",8,2,215.501484036789,215.69404968381,216.260313367113,215.031785441189,213.948274720331
"26",8,3,210.479035149629,210.6314410569,209.75951389744,209.259305550449,210.736073538674
"27",8,4,207.682444292006,208.185461607943,207.960185472798,206.96152229297,208.269561917044
"28",8,5,206.141465656173,206.820263775968,206.509114162603,206.008782893527,205.975132501575
"29",8,6,205,205,205,205,205
