"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","length_prior","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7","rad1","rad2","rad3","rad4","rad5","rad6","rad7"
"1",2,"17NPRB000204S1S2",2017,"4","Female","4","mature",0.297,3.284,200,2.987,1.976,0.73,0.281,0.297,NA,NA,NA,1.976,0.73,0.281,0.297,0,0,0,1.976,2.706,2.987,3.284,3.284,3.284,3.284
"2",3,"17NPRB000306S1S3",2017,"6","Female","4","mature",0.101,4.553,211,4.452,1.597,1.451,0.57,0.509,0.325,0.101,NA,1.597,1.451,0.57,0.509,0.325,0.101,0,1.597,3.048,3.618,4.127,4.452,4.553,4.553
"3",4,"17NPRB000404S1S4",2017,"4","Female","4","mature",0.343,4.2,208,3.857,1.952,1.249,0.656,0.343,NA,NA,NA,1.952,1.249,0.656,0.343,0,0,0,1.952,3.201,3.857,4.2,4.2,4.2,4.2
"4",9,"17NPRB000906S1S9",2017,"6","Female","4","mature",0.159,5.262,219,5.103,1.859,1.262,0.831,0.561,0.59,0.159,NA,1.859,1.262,0.831,0.561,0.59,0.159,0,1.859,3.121,3.952,4.513,5.103,5.262,5.262
"5",16,"17NPRB001603S2S1",2017,"3","Female","4","mature",0.501,2.872,180,2.371,1.471,0.9,0.501,NA,NA,NA,NA,1.471,0.9,0.501,0,0,0,0,1.471,2.371,2.872,2.872,2.872,2.872,2.872
"6",18,"17NPRB001804S2S3",2017,"4","Female","3","mature",0.169,3.017,180,2.848,1.253,1.077,0.518,0.169,NA,NA,NA,1.253,1.077,0.518,0.169,0,0,0,1.253,2.33,2.848,3.017,3.017,3.017,3.017
"7",19,"17NPRB001904S2S4",2017,"4","Female","3","mature",0.386,3.983,191,3.597,1.68,1.297,0.62,0.386,NA,NA,NA,1.68,1.297,0.62,0.386,0,0,0,1.68,2.977,3.597,3.983,3.983,3.983,3.983
"8",20,"17NPRB002004S2S5",2017,"4","Female","3","mature",0.27,2.998,180,2.728,1.247,0.916,0.565,0.27,NA,NA,NA,1.247,0.916,0.565,0.27,0,0,0,1.247,2.163,2.728,2.998,2.998,2.998,2.998
"9",25,"17NPRB002503S2S10",2017,"3","Female","3","mature",0.528,2.757,173,2.229,1.436,0.793,0.528,NA,NA,NA,NA,1.436,0.793,0.528,0,0,0,0,1.436,2.229,2.757,2.757,2.757,2.757,2.757
"10",28,"17NPRB002804S2S13",2017,"4","Female","3","mature",0.179,2.464,183,2.285,0.959,0.972,0.354,0.179,NA,NA,NA,0.959,0.972,0.354,0.179,0,0,0,0.959,1.931,2.285,2.464,2.464,2.464,2.464
"11",31,"17NPRB003104S3S1",2017,"4","Female","4","mature",0.521,2.786,185,2.265,0.883,1.382,0.521,NA,NA,NA,NA,0.883,1.382,0.521,0,0,0,0,0.883,2.265,2.786,2.786,2.786,2.786,2.786
"12",45,"17NPRB004503S3S15",2017,"3","Female","3","mature",0.667,3.337,194,2.67,1.752,0.918,0.667,NA,NA,NA,NA,1.752,0.918,0.667,0,0,0,0,1.752,2.67,3.337,3.337,3.337,3.337,3.337
"13",73,"17NPRB007304S5S13",2017,"4","Female","3","mature",0.215,3.226,192,3.011,1.494,1.002,0.515,0.215,NA,NA,NA,1.494,1.002,0.515,0.215,0,0,0,1.494,2.496,3.011,3.226,3.226,3.226,3.226
"14",84,"17NPRB008404S6S9",2017,"4","Female","3","mature",0.333,3.426,184,3.093,1.44,0.875,0.778,0.333,NA,NA,NA,1.44,0.875,0.778,0.333,0,0,0,1.44,2.315,3.093,3.426,3.426,3.426,3.426
"15",102,"17NPRB010204S7S12",2017,"4","Female","3","mature",0.538,4.927,188,4.389,2.402,0.977,1.01,0.538,NA,NA,NA,2.402,0.977,1.01,0.538,0,0,0,2.402,3.379,4.389,4.927,4.927,4.927,4.927
"16",129,"17NPRB012904S9S9",2017,"4","Female","3","mature",0.328,4.105,204,3.777,2.125,1.19,0.462,0.328,NA,NA,NA,2.125,1.19,0.462,0.328,0,0,0,2.125,3.315,3.777,4.105,4.105,4.105,4.105
"17",134,"17NPRB013404S9S14",2017,"4","Female","4","mature",0.601,5.242,192,4.641,2.229,1.408,1.004,0.601,NA,NA,NA,2.229,1.408,1.004,0.601,0,0,0,2.229,3.637,4.641,5.242,5.242,5.242,5.242
"18",135,"17NPRB013503S9S15",2017,"3","Female","3","mature",0.365,2.731,170,2.366,1.26,1.106,0.365,NA,NA,NA,NA,1.26,1.106,0.365,0,0,0,0,1.26,2.366,2.731,2.731,2.731,2.731,2.731
"19",142,"17NPRB014204S10S7",2017,"4","Female","4","mature",0.172,3.268,204,3.096,1.62,1.072,0.404,0.172,NA,NA,NA,1.62,1.072,0.404,0.172,0,0,0,1.62,2.692,3.096,3.268,3.268,3.268,3.268
"20",144,"17NPRB014404S10S9",2017,"4","Female","3","mature",0.253,3.562,187,3.309,1.776,1.078,0.455,0.253,NA,NA,NA,1.776,1.078,0.455,0.253,0,0,0,1.776,2.854,3.309,3.562,3.562,3.562,3.562
"21",145,"17NPRB014503S10S10",2017,"3","Female","3","mature",0.427,2.646,181,2.219,1.377,0.842,0.427,NA,NA,NA,NA,1.377,0.842,0.427,0,0,0,0,1.377,2.219,2.646,2.646,2.646,2.646,2.646
"22",150,"17NPRB015004S10S15",2017,"4","Female","3","mature",0.288,3.651,177,3.363,1.436,1.01,0.917,0.288,NA,NA,NA,1.436,1.01,0.917,0.288,0,0,0,1.436,2.446,3.363,3.651,3.651,3.651,3.651
"23",154,"17NPRB015404S11S4",2017,"4","Female","3","mature",0.435,5.162,196,4.727,2.256,1.504,0.967,0.435,NA,NA,NA,2.256,1.504,0.967,0.435,0,0,0,2.256,3.76,4.727,5.162,5.162,5.162,5.162
"24",156,"17NPRB015604S11S6",2017,"4","Female","4","mature",0.43,4.324,202,3.894,1.786,1.329,0.779,0.43,NA,NA,NA,1.786,1.329,0.779,0.43,0,0,0,1.786,3.115,3.894,4.324,4.324,4.324,4.324
"25",157,"17NPRB015703S11S7",2017,"3","Female","3","mature",0.677,3.958,185,3.281,2.147,1.134,0.677,NA,NA,NA,NA,2.147,1.134,0.677,0,0,0,0,2.147,3.281,3.958,3.958,3.958,3.958,3.958
"26",167,"17NPRB016704S12S2",2017,"4","Female","4","mature",0.391,4.338,197,3.947,1.762,1.614,0.571,0.391,NA,NA,NA,1.762,1.614,0.571,0.391,0,0,0,1.762,3.376,3.947,4.338,4.338,4.338,4.338
