term,estimate,std.error,statistic,p.value,zone
(Intercept),-1.3510948855224612,0.2595683644237398,-5.2051600684158394,4.1872590911361547e-7,A1
lencap,0.03159103714728671,0.001377513750312477,22.933373362059406,3.3271709359990664e-62,A1
(Intercept),-1.5159985362381445,0.3559004465876908,-4.259614031882411,2.9504702794957996e-5,A2
lencap,0.03251290316112413,0.0018887423357823376,17.214049023609636,1.105919828184313e-43,A2
(Intercept),-0.8795775897164807,0.2756190331553826,-3.1912802960186397,0.0016088241671660954,A3
lencap,0.02992250562385379,0.0014629286561489746,20.453837921681046,3.535207132257426e-54,A3
(Intercept),-1.2401343403854743,0.3227232796181496,-3.842717333105989,1.5630613998391751e-4,A4
lencap,0.026182152728069515,0.0017128100703355472,15.28608056522012,3.595361148860308e-37,A4
(Intercept),-0.1212069341798789,0.5953186962428837,-0.20360007999887805,0.8388429763715484,A6
lencap,0.02195498480362917,0.003159523261309988,6.948828347769875,3.625440947741378e-11,A6
